ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,83,SGD,105821,8783143,Universal Studios Singapore Admission Ticket Adult Ticket
Child Ticket,62,SGD,28157,1745734,Universal Studios Singapore Admission Ticket Child Ticket
Family Ticket (1 Adult + 1 Child),145,SGD,346,50170,Universal Studios Singapore Admission Ticket Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),228,SGD,531,121068,Universal Studios Singapore Admission Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,357,SGD,1100,392700,Universal Studios Singapore 1-Day Ticket + Unlimited Express Pass + VIP Services Adult Ticket
Child Ticket,298,SGD,477,142146,Universal Studios Singapore 1-Day Ticket + Unlimited Express Pass + VIP Services Child Ticket
Standard Ticket,75,SGD,3351,251325,Universal Studios Singapore One-Time Express Pass Standard Ticket
Standard Ticket,83,SGD,21192,1758936,Universal Studios Singapore One-Time Express Pass Standard Ticket
Standard Ticket,140,SGD,1422,199080,Universal Studios Singapore Unlimited Pass Standard Ticket
Standard Ticket,125,SGD,11577,1447125,Universal Studios Singapore Unlimited Pass Standard Ticket
Adult Ticket,127,SGD,859,109093,Universal Studios Singapore Tickets + S.E.A. Aquarium Admission Ticket Adult Ticket
Child Ticket,95,SGD,195,18525,Universal Studios Singapore Tickets + S.E.A. Aquarium Admission Ticket Child Ticket
Adult Ticket,167,SGD,374,62458,Adventure Cove Waterpark Admission Ticket + Universal Studios Singapore Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,127,SGD,187,23749,Adventure Cove Waterpark Admission Ticket + Universal Studios Singapore Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,123,SGD,60,7380,Adventure Cove Waterpark 1-Day Ticket + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,94,SGD,30,2820,Adventure Cove Waterpark 1-Day Ticket + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,112,SGD,94,10528,Universal Studios Singapore + Singapore Cable Car Sky Pass Round Trip Ticket Adult Ticket
Child Ticket,83,SGD,6,498,Universal Studios Singapore + Singapore Cable Car Sky Pass Round Trip Ticket Child Ticket
Child Ticket,116,SGD,36,4176,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Cable Car ticket Child Ticket
Adult Ticket,156,SGD,133,20748,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Cable Car ticket Adult Ticket
Adult Ticket,128,SGD,21,2688,Universal Studios Singapore + Singapore Zoo Admission Ticket Adult Ticket
Child Ticket,98,SGD,5,490,Universal Studios Singapore + Singapore Zoo Admission Ticket Child Ticket
Adult Ticket,132.5,SGD,126,16632,Universal Studios Singapore + Night Safari Admission Ticket Adult Ticket
Child Ticket,100,SGD,26,2600,Universal Studios Singapore + Night Safari Admission Ticket Child Ticket
Adult Ticket,125,SGD,8,1000,River Wonders + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,92,SGD,2,184,River Wonders + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,100.1,SGD,129,12900,Universal Studios Singapore + Wings of Time Ticket (Standard Seat) Adult Ticket
Child Ticket,79.1,SGD,21,1659,Universal Studios Singapore + Wings of Time Ticket (Standard Seat) Child Ticket
Adult Ticket,123,SGD,16,1968,Singapore Flyer Ticket + Time Capsule Experience + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,87,SGD,2,174,Singapore Flyer Ticket + Time Capsule Experience + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,167,SGD,30,5010,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Adult Ticket
Child Ticket,120,SGD,15,1800,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Child Ticket
Adult Ticket,115,SGD,163,18745,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,83,SGD,19,1577,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,98,SGD,147,14406,Universal Studios Singapore Admission Ticket + Chinese New Year Combo Meal + Shopping Voucher Adult Ticket
Child Ticket,78,SGD,37,2886,Universal Studios Singapore Admission Ticket + Chinese New Year Combo Meal + Shopping Voucher Child Ticket
Standard Ticket,10,SGD,14,140,Universal Studios Singapore 3D Ice Cream Standard Ticket-Merlion Ice Cream
Standard Ticket,3,SGD,100,300,Universal Studios Singapore SGD5 USS Retail Voucher (Minimum Spend SGD25 per Voucher) Standard Ticket
Standard Ticket,15,SGD,58,870,Universal Studios Singapore /S.E.A. Aquarium/Adventure Cove Waterpark 6R DIGIPHOTO REDEMPTION VOUCHER Standard Ticket
