ticket_name,price,currency,ticket_count,revenue,more_info
Family Ticket (2 Adults + 1 Child),121,SGD,669,80949,S.E.A. Aquarium Admission Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,44,SGD,23309,1025596,S.E.A. Aquarium Admission Ticket Adult Ticket
Child Ticket,33,SGD,6921,228393,S.E.A. Aquarium Admission Ticket Child Ticket
Family Ticket (1 Adult + 1 Child),77,SGD,326,25102,S.E.A. Aquarium Admission Ticket Family Ticket (1 Adult + 1 Child)
Standard Ticket,25,SGD,2,50,S.E.A. Aquarium Behind The Scenes: Aquarist Lab Standard Ticket
Standard Ticket,21,SGD,16,336,S.E.A. Aquarium Dolphin Intro ( Admission Not Included) Standard Ticket
Adult Ticket,217,SGD,0,0,S.E.A. Aquarium VIP Experience (With Ticket) Adult Ticket
Adult Ticket,197,SGD,105,20685,S.E.A. Aquarium VIP Experience (With Ticket) Adult Ticket
Child Ticket,177,SGD,0,0,S.E.A. Aquarium VIP Experience (With Ticket) Child Ticket
Child Ticket,157,SGD,68,10676,S.E.A. Aquarium VIP Experience (With Ticket) Child Ticket
Adult Ticket,177,SGD,90,15930,S.E.A. Aquarium Admission + Dolphin Island Dolphin Discovery Adult Ticket
Adult Ticket,144,SGD,191,27504,S.E.A. Aquarium Admission + Dolphin Island Dolphin Discovery Adult Ticket
Child Ticket,166,SGD,56,9296,S.E.A. Aquarium Admission + Dolphin Island Dolphin Discovery Child Ticket
Child Ticket,133,SGD,126,16758,S.E.A. Aquarium Admission + Dolphin Island Dolphin Discovery Child Ticket
Adult Ticket,188,SGD,9,1692,S.E.A. Aquarium Admission + Dolphin Island Dolphin Adventure Adult Ticket
Adult Ticket,84,SGD,76,6384,S.E.A. Aquarium Admission + Dolphin Island Dolphin Encounter Adult Ticket
Child Ticket,73,SGD,19,1387,S.E.A. Aquarium Admission + Dolphin Island Dolphin Encounter Child Ticket
Adult Ticket,67,SGD,125,8375,S.E.A. Aquarium Admission + Dolphin Island Dolphin Observer Adult Ticket
Child Ticket,56,SGD,10,560,S.E.A. Aquarium Admission + Dolphin Island Dolphin Observer Child Ticket
Adult Ticket,49,SGD,13,637,S.E.A. Aquarium Admission Ticket + BunnyVerse 3D Ice Cream Adult Ticket - Ocean Series Ice Cream
Adult Ticket,127,SGD,859,109093,Universal Studios Singapore Tickets + S.E.A. Aquarium Admission Ticket Adult Ticket
Child Ticket,95,SGD,195,18525,Universal Studios Singapore Tickets + S.E.A. Aquarium Admission Ticket Child Ticket
Adult Ticket,167,SGD,30,5010,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Adult Ticket
Child Ticket,120,SGD,15,1800,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Child Ticket
Adult Ticket,70,SGD,3,210,S.E.A. Aquarium ticket + Trick Eye Museum ticket Adult Ticket
