ticket_name,price,currency,ticket_count,revenue,more_info
Child Ticket,23.5,SGD,301,6923,Wings of Time Open-Dated Ticket (Standard Seat) + Singapore Cable Car Pass (Round-Trip) with Complementary Fruit Popsicle Child Ticket
Adult Ticket,36.5,SGD,1222,43992,Singapore Cable Car Pass Round Trip Ticket + SkyHelix Sentosa Ticket Adult Ticket
Child Ticket,30,SGD,178,5340,Singapore Cable Car Pass Round Trip Ticket + SkyHelix Sentosa Ticket Child Ticket
Family Ticket (1 Adult + 1 Child),66.5,SGD,11,726,Singapore Cable Car Pass Round Trip Ticket + SkyHelix Sentosa Ticket Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),103,SGD,32,3296,Singapore Cable Car Pass Round Trip Ticket + SkyHelix Sentosa Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,22.5,SGD,28,616,Sentosa Island Bus Tour Adult Ticket
Child Ticket,18,SGD,12,216,Sentosa Island Bus Tour Child Ticket
Adult Ticket,35,SGD,0,0,Sentosa Singapore Southern Round Island Speedboat Tour Adult Ticket
Adult Ticket,18,SGD,569,10242,SkyHelix Sentosa Ticket Adult Ticket
Child Ticket,15.3,SGD,141,2115,SkyHelix Sentosa Ticket Child Ticket
Standard Ticket,60,SGD,0,0,Sentosa Sentosa Fun Discovery Pass Standard Ticket-60 Tokens
Standard Ticket,76.5,SGD,7,532,Sentosa Sentosa Fun Discovery Pass Standard Ticket-95 Tokens
Standard Ticket,100,SGD,1,100,Sentosa Sentosa Fun Discovery Pass Standard Ticket-130 Tokens
Standard Ticket,45,SGD,0,0,Sentosa Choice Pass Standard Ticket-Choose 2 attractions
Standard Ticket,89.6,SGD,0,0,Sentosa Choice Pass Standard Ticket-Choose five attractions
Standard Ticket,99.9,SGD,0,0,Sentosa Choice Pass Standard Ticket-Choose 6
Standard Ticket,77.7,SGD,0,0,Sentosa Choice Pass Standard Ticket-Choose four attractions
Standard Ticket,62,SGD,0,0,Sentosa Choice Pass Standard Ticket-Choose three attractions
Adult Ticket,13.5,SGD,0,0,Central Beach Bazaar Air Combat VR Experience Adult Ticket
Standard Ticket,28,SGD,0,0,Gogreen Eco Adventure @ Sentosa 2 Hours Kick Scooter Rental + Free 1 Gogreen Metal Straw Standard Ticket
Standard Ticket,28,SGD,3,84,Gogreen Eco Adventure @ Sentosa 2 Hours Bicycle Rental + Free 1 Gogreen Metal Straw Standard Ticket
Standard Ticket,3,SGD,12,36,Singapore Cable Car Cornetto Ice-Cream or Canned Coffee Redemption Voucher Standard Ticket
Adult Ticket,95,SGD,23,2185,Singapore Cable Car Flexi Pass Adult Ticket
Child Ticket,87,SGD,3,261,Singapore Cable Car Flexi Pass Child Ticket
