ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,12.0,SGD,1804,21648,National Orchid Garden Tickets Adult Ticket
Child Ticket,26.0,SGD,2,52,Gardens by the Bay Flower Dome + Supertree Observatory Ticket + Outdoor Audio Tour (English Tour) Child Ticket (International Tourists) - English Guide
Adult Ticket,44.0,SGD,12,528,Gardens by the Bay Flower Dome + Supertree Observatory Ticket + Outdoor Audio Tour (English Tour) Adult Ticket (International Tourists) - English Guide
Family Ticket (1 Adult + 1 Child),32.0,SGD,4,128,Gardens by the Bay Floral Fantasy Ticket Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),52.0,SGD,12,624,Gardens by the Bay Floral Fantasy Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,12.0,SGD,234,2808,Gardens by the Bay Floral Fantasy Ticket Adult Ticket (Singapore Residents)
Adult Ticket,20.0,SGD,2156,43120,Gardens by the Bay Floral Fantasy Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,8.0,SGD,13,104,Gardens by the Bay Floral Fantasy Ticket Child Ticket (Singapore Residents)
Child Ticket,12.0,SGD,363,4356,Gardens by the Bay Floral Fantasy Ticket Child Ticket (Non-Singapore Residents)
Family Ticket (2 Adults + 1 Child),85.0,SGD,842,71570,Gardens by the Bay Cloud Forest + Flower Dome Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,20.0,SGD,279,5580,Gardens by the Bay Cloud Forest + Flower Dome Ticket Adult Ticket (Singapore Residents)
Child Ticket,12.0,SGD,38,456,Gardens by the Bay Cloud Forest + Flower Dome Ticket Child Ticket (Singapore Residents)
Family Ticket (1 Adult + 1 Child),53.0,SGD,374,19822,Gardens by the Bay Cloud Forest + Flower Dome Ticket Family Ticket (1 Adult + 1 Child)
Adult Ticket,32.0,SGD,18208,582656,Gardens by the Bay Cloud Forest + Flower Dome Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,21.0,SGD,3925,82425,Gardens by the Bay Cloud Forest + Flower Dome Ticket Child Ticket (Non-Singapore Residents)
Senior Ticket,32.0,SGD,1454,46528,Gardens by the Bay Cloud Forest + Flower Dome Ticket Senior Ticket (Non-Singapore Residents)
Adult Ticket,20.0,SGD,80,1600,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Adult Ticket (Singapore Residents)
Adult Ticket,34.0,SGD,2379,80886,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,12.0,SGD,9,108,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Child Ticket (Singapore Residents)
Child Ticket,21.0,SGD,470,9870,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Child Ticket (Non-Singapore Residents)
Adult Ticket,89.7,SGD,126,11214,Marina Bay Pass Adult Ticket-Choose four attractions
Adult Ticket,76.5,SGD,194,14744,Marina Bay Pass Adult Ticket-Choose three attractions
Adult Ticket,99.1,SGD,96,9504,Marina Bay Pass Adult Ticket-Choose five attractions
