ticket_name,price,currency,ticket_count,revenue,more_info
Family Ticket (2 Adults + 1 Child),126,SGD,204,25704,Singapore Zoo Admission Ticket (Includes Tram Rides) Family Ticket (2 Adults + 1 Child)
Family Ticket (1 Adult + 1 Child),81,SGD,47,3807,Singapore Zoo Admission Ticket (Includes Tram Rides) Family Ticket (1 Adult + 1 Child)
Adult Ticket,45.6,SGD,251,11295,Singapore Zoo Admission Ticket (Includes Tram Rides) Adult Ticket (Singapore Residents)
Adult Ticket,45,SGD,7437,334665,Singapore Zoo Admission Ticket (Includes Tram Rides) Adult Ticket (Non-Singapore Residents)
Child Ticket,31.35,SGD,48,1488,Singapore Zoo Admission Ticket (Includes Tram Rides) Child Ticket (Singapore Residents)
Child Ticket,36,SGD,3371,121356,Singapore Zoo Admission Ticket (Includes Tram Rides) Child Ticket (Non-Singapore Residents)
Family Ticket (2 Adults + 2 Children),162,SGD,59,9558,Singapore Zoo Admission Ticket (Includes Tram Rides) Family Ticket (2 Adults + 2 Children)
Adult Ticket,77,SGD,15,1155,Gardens by the Bay Flower Dome +Cloud Forest Ticket + Singapore Zoo Ticket Adult Ticket
Child Ticket,57,SGD,13,741,Gardens by the Bay Flower Dome +Cloud Forest Ticket + Singapore Zoo Ticket Child Ticket
Adult Ticket,128,SGD,21,2688,Universal Studios Singapore + Singapore Zoo Admission Ticket Adult Ticket
Child Ticket,98,SGD,5,490,Universal Studios Singapore + Singapore Zoo Admission Ticket Child Ticket
Adult Ticket,89,SGD,43,3827,S.E.A. Aquarium Ticket + Singapore Zoo Ticket Adult Ticket
Child Ticket,69,SGD,12,828,S.E.A. Aquarium Ticket + Singapore Zoo Ticket Child Ticket
Adult Ticket,83.6,SGD,1,83,Singapore Zoo + River Wonders 2-Park Admission Adult Ticket (SG Residents)
Child Ticket,59.85,SGD,0,0,Singapore Zoo + River Wonders 2-Park Admission Child Ticket (SG Residents)
Family Ticket (1 Adult + 1 Child),153,SGD,16,2448,Singapore Zoo + River Wonders 2-Park Admission Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),240,SGD,66,15840,Singapore Zoo + River Wonders 2-Park Admission Family Ticket (2 Adults + 1 Child)
Adult Ticket,87,SGD,206,17922,Singapore Zoo + River Wonders 2-Park Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,62.99,SGD,256,15872,Singapore Zoo + River Wonders 2-Park Admission Child Ticket (Non-Singapore Residents)
Adult Ticket,94.5,SGD,87,8178,Singapore Zoo + Night Safari 2-Park Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,68.99,SGD,125,8500,Singapore Zoo + Night Safari 2-Park Admission Child Ticket (Non-Singapore Residents)
Family Ticket (1 Adult + 1 Child),168.5,SGD,6,1008,Singapore Zoo + Night Safari 2-Park Admission Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),263,SGD,19,4997,Singapore Zoo + Night Safari 2-Park Admission Family Ticket (2 Adults + 1 Child)
Adult Ticket,93,SGD,37,3441,Singapore Zoo + Bird Paradise 2-Park Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,69,SGD,27,1863,Singapore Zoo + Bird Paradise 2-Park Admission Child Ticket (Non-Singapore Residents)
Adult Ticket,136.5,SGD,92,12512,Singapore Zoo + River Wonders + Night Safari 3-in-1 ParkHopper Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,90,SGD,186,16740,Singapore Zoo + River Wonders + Night Safari 3-in-1 ParkHopper Admission Child Ticket (Non-Singapore Residents)
Adult Ticket,118,SGD,17,2006,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Adult Ticket (Singapore Residents)
Child Ticket,90,SGD,2,180,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Child Ticket (Singapore Residents)
Adult Ticket,118,SGD,2569,303142,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,90,SGD,920,82800,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Child Ticket (Non-Singapore Residents)
Adult Ticket,85,SGD,0,0,Adventure Cove Waterpark Ticket + Singapore Zoo Ticket Adult Ticket
Child Ticket,68,SGD,0,0,Adventure Cove Waterpark Ticket + Singapore Zoo Ticket Child Ticket
Adult Ticket,85,SGD,0,0,Singapore Zoo Admission Ticket + Breakfast with Pongo Adult Ticket - 09:00-10:30
Child Ticket,66,SGD,0,0,Singapore Zoo Admission Ticket + Breakfast with Pongo Child Ticket - 09:00-10:30
Family Ticket (2 Adults + 1 Child),236,SGD,0,0,Singapore Zoo Admission Ticket + Breakfast with Pongo Family Ticket (2 Adults + 1 Child) - 09:00-10:30
Family Ticket (1 Adult + 1 Child),151,SGD,0,0,Singapore Zoo Admission Ticket + Breakfast with Pongo Family Ticket (1 Adult + 1 Child) - 09:00-10:30
Family Ticket (2 Adults + 2 Children),302,SGD,0,0,Singapore Zoo Admission Ticket + Breakfast with Pongo Family Ticket (2 Adults + 2 Children) - 09:00-10:30
Standard Ticket,352,SGD,29,10208,Singapore Zoo Zoo Adventure Tour Standard Ticket
Adult Ticket,40,SGD,1196,47840,Singapore Zoo Meal Coupon-Breakfast in the Wild (Admission Not Included) Adult Ticket-09:00-10:30
Child Ticket,30,SGD,395,11850,Singapore Zoo Meal Coupon-Breakfast in the Wild (Admission Not Included) Child Ticket-09:00-10:30
Family Ticket (2 Adults + 1 Child),110,SGD,4,440,Singapore Zoo Meal Coupon-Breakfast in the Wild (Admission Not Included) Family Ticket (2 Adults + 1 Child) - 09:00-10:30
