ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,30,SGD,7369,221070,Sands SkyPark Observation Deck Ticket Adult Ticket-Enter before 16:00
Child Ticket,24,SGD,1796,43104,Sands SkyPark Observation Deck Ticket Child Ticket-Enter before 16:00
Senior Ticket,24,SGD,498,11952,Sands SkyPark Observation Deck Ticket Senior Ticket-Enter before 16:00
Adult Ticket,30,SGD,346,10380,ArtScience Museum General Exhibition-Future World: Where Art Meets Science Adult Ticket
Child Ticket,25,SGD,204,5100,ArtScience Museum General Exhibition-Future World: Where Art Meets Science Child Ticket
Senior Ticket,25,SGD,27,675,ArtScience Museum General Exhibition-Future World: Where Art Meets Science Senior Ticket
Standard Ticket,13,SGD,37,481,Marina Bay Sands -Sampan Rides (Includes 4 Digital Photo) Standard Ticket
Adult Ticket,89.7,SGD,126,11214,Marina Bay Pass Adult Ticket-Choose four attractions
Adult Ticket,76.5,SGD,194,14744,Marina Bay Pass Adult Ticket-Choose three attractions
Adult Ticket,99.1,SGD,96,9504,Marina Bay Pass Adult Ticket-Choose five attractions
Child Ticket,75.2,SGD,20,1500,Marina Bay Pass Child Ticket-Choose five attractions
Child Ticket,58.6,SGD,59,3422,Marina Bay Pass Child Ticket-Choose three attractions
Child Ticket,70.4,SGD,44,3080,Marina Bay Pass Child Ticket-Choose four attractions
