ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,30,SGD,7369,221070,Sands SkyPark Observation Deck Ticket Adult Ticket-Enter before 16:00
Child Ticket,24,SGD,1796,43104,Sands SkyPark Observation Deck Ticket Child Ticket-Enter before 16:00
Senior Ticket,24,SGD,498,11952,Sands SkyPark Observation Deck Ticket Senior Ticket-Enter before 16:00
Adult Ticket,62,SGD,869,53878,Gardens by the Bay Flower Dome + Cloud Forest Ticket + 滨海湾金沙空中花园观景台门票 Adult Ticket - Enter before 16:00
Child Ticket,45,SGD,176,7920,Gardens by the Bay Flower Dome + Cloud Forest Ticket + 滨海湾金沙空中花园观景台门票 Child Ticket - Enter before 16:00
Adult Ticket,60,SGD,40,2400,滨海湾金沙空中花园观景台门票 + ArtScience Museum Admission Ticket Adult Ticket
Child Ticket,49,SGD,8,392,滨海湾金沙空中花园观景台门票 + ArtScience Museum Admission Ticket Child Ticket
Adult Ticket,92,SGD,135,12420,滨海湾金沙空中花园观景台门票 + Gardens by the Bay Tickets + ArtScience Museum Admission Ticket Adult Ticket
Child Ticket,70,SGD,54,3780,滨海湾金沙空中花园观景台门票 + Gardens by the Bay Tickets + ArtScience Museum Admission Ticket Child Ticket
Adult Ticket,89.7,SGD,126,11214,Marina Bay Pass Adult Ticket-Choose four attractions
Adult Ticket,76.5,SGD,194,14744,Marina Bay Pass Adult Ticket-Choose three attractions
Adult Ticket,99.1,SGD,96,9504,Marina Bay Pass Adult Ticket-Choose five attractions
Child Ticket,75.2,SGD,20,1500,Marina Bay Pass Child Ticket-Choose five attractions
Child Ticket,58.6,SGD,59,3422,Marina Bay Pass Child Ticket-Choose three attractions
Child Ticket,70.4,SGD,44,3080,Marina Bay Pass Child Ticket-Choose four attractions
