ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,49.5,SGD,254,12446,Night Safari Admission Ticket with Tram Ride (English) Adult Ticket (Singapore Residents)
Adult Ticket,49.5,SGD,24040,1177960,Night Safari Admission Ticket with Tram Ride (English) Adult Ticket (Non-Singapore Residents)
Child Ticket,34.2,SGD,35,1190,Night Safari Admission Ticket with Tram Ride (English) Child Ticket (Singapore Residents)
Child Ticket,38,SGD,7155,271890,Night Safari Admission Ticket with Tram Ride (English) Child Ticket (Non-Singapore Residents)
Adult Ticket,94.5,SGD,87,8178,Singapore Zoo + Night Safari 2-Park Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,68.99,SGD,125,8500,Singapore Zoo + Night Safari 2-Park Admission Child Ticket (Non-Singapore Residents)
Family Ticket (1 Adult + 1 Child),168.5,SGD,6,1008,Singapore Zoo + Night Safari 2-Park Admission Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),263,SGD,19,4997,Singapore Zoo + Night Safari 2-Park Admission Family Ticket (2 Adults + 1 Child)
Adult Ticket,95.99,SGD,148,14060,Night Safari + Bird Paradise Admission Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,65.99,SGD,46,2990,Night Safari + Bird Paradise Admission Ticket Child Ticket (Non-SG Residents)
Adult Ticket,91.5,SGD,254,23114,Night Safari + River Wonders 2-Park Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,65.99,SGD,532,34580,Night Safari + River Wonders 2-Park Admission Child Ticket (Non-Singapore Residents)
Family Ticket (1 Adult + 1 Child),159.5,SGD,15,2385,Night Safari + River Wonders 2-Park Admission Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),251,SGD,40,10040,Night Safari + River Wonders 2-Park Admission Family Ticket (2 Adults + 1 Child)
Adult Ticket,136.5,SGD,92,12512,Singapore Zoo + River Wonders + Night Safari 3-in-1 ParkHopper Admission Adult Ticket (Non-Singapore Residents)
Child Ticket,90,SGD,186,16740,Singapore Zoo + River Wonders + Night Safari 3-in-1 ParkHopper Admission Child Ticket (Non-Singapore Residents)
Adult Ticket,118,SGD,17,2006,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Adult Ticket (Singapore Residents)
Child Ticket,90,SGD,2,180,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Child Ticket (Singapore Residents)
Adult Ticket,118,SGD,2569,303142,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,90,SGD,920,82800,Singapore Zoo + River Wonders + Bird Paradise + Night Safari Park Hopper Ticket Child Ticket (Non-Singapore Residents)
Adult Ticket,89.5,SGD,14,1246,Singapore Flyer Ticket (With Time Capsule Experience) + Night Safari Ticket Adult Ticket
Child Ticket,63,SGD,6,378,Singapore Flyer Ticket (With Time Capsule Experience) + Night Safari Ticket Child Ticket
Adult Ticket,93.5,SGD,127,11811,Night Safari Ticket + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,71,SGD,34,2414,Night Safari Ticket + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,132.5,SGD,126,16632,Universal Studios Singapore + Night Safari Admission Ticket Adult Ticket
Child Ticket,100,SGD,26,2600,Universal Studios Singapore + Night Safari Admission Ticket Child Ticket
Adult Ticket,89.5,SGD,0,0,Adventure Cove Waterpark + Night Safari Ticket Adult Ticket
Child Ticket,70,SGD,0,0,Adventure Cove Waterpark + Night Safari Ticket Child Ticket
Adult Ticket,54.99,SGD,1007,54378,Night Safari Admission Ticket + Multi-Lingual Tram Adult Ticket (Non-Singapore residents) - 19:50
Child Ticket,37.99,SGD,405,14985,Night Safari Admission Ticket + Multi-Lingual Tram Child Ticket (Non-Singapore residents) - 19:50
Family Ticket (2 Adults + 1 Child),167,SGD,1,167,Night Safari Admission Ticket + Multi-Lingual Tram Family Ticket (2 Adults + 1 Child) - 19:50
Family Ticket (1 Adult + 1 Child),107.5,SGD,1,107,Night Safari Admission Ticket + Multi-Lingual Tram Family Ticket (1 Adult + 1 Child) - 19:50
Standard Ticket,10,SGD,443,4430,Night Safari Multi-Lingual Tram Ride Standard Ticket-19:50
Standard Ticket,10,SGD,3605,36050,Night Safari Multi-Lingual Tram Ride Standard Ticket
Standard Ticket,448,SGD,16,7168,Night Safari Adventure Tour (Admission Not Included) Standard Ticket
Adult Ticket,48,SGD,57,2736,Night Safari Ulu Ulu Safari Restaurant Asian Dinner Voucher Adult Ticket
Child Ticket,37,SGD,26,962,Night Safari Ulu Ulu Safari Restaurant Asian Dinner Voucher Child Ticket
Adult Ticket,31,SGD,18,558,Night Safari Ulu Ulu Safari Restaurant Indian Dinner Voucher Adult Ticket
Child Ticket,21,SGD,3,63,Night Safari Ulu Ulu Safari Restaurant Indian Dinner Voucher Child Ticket
Adult Ticket,51.4,SGD,86,4386,Night Safari Ticket with Tram Ride (English)+ Mystical Bar F&B Bundle Adult Ticket (Non-Singapore residents)
Child Ticket,35.5,SGD,35,1225,Night Safari Ticket with Tram Ride (English)+ Mystical Bar F&B Bundle Child Ticket (Non-Singapore residents)
